Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Class
Asia,Southern Asia,Afghanistan,7.1,7.0,9.0,9.5,9.0,5.5,3.5,6.5,9.5,1.0,7.5,9.0,4.0,7.5,8.5,9.0,6.0,7.2,5.0,8.0,9.0,6.0,8.0,1.5,1.5,1.0,1.0,1.5,1.5,1.5,3.5,1.0,1.5,1.5,1.5,1.0,2
Africa,North Africa,Libya,6.93,6.57,8.5,9.5,9.0,1.0,3.5,9.5,2.5,5.5,7.0,7.5,3.5,9.5,6.0,7.0,9.0,7.3,9.0,7.5,9.5,5.5,5.0,1.54,1.5,1.5,2.5,2.0,1.5,1.5,1.5,1.0,2.0,1.0,1.0,1.5,2
Asia,South-Eastern Asia,Myanmar,8.15,7.7,8.5,8.0,9.0,8.5,8.5,9.0,9.5,3.5,4.5,10.0,7.5,8.5,6.0,7.0,7.5,8.6,9.5,8.0,9.0,9.0,7.5,1.63,1.5,1.5,2.0,2.0,1.5,1.5,2.0,2.0,1.5,1.0,1.5,1.5,2
Asia,Western Asia,Yemen,6.57,5.63,9.0,9.0,9.5,2.5,4.0,7.5,2.5,2.0,4.0,4.5,1.5,8.0,6.5,6.0,8.0,7.5,7.0,8.0,8.0,8.5,6.0,1.75,1.5,1.5,3.0,2.0,1.5,2.0,1.5,2.0,2.0,1.0,1.0,2.0,2
Africa,Central Africa,Central African Republic,6.75,5.6,7.5,5.5,9.0,7.0,8.0,10.0,1.5,1.5,3.5,7.0,2.0,3.5,7.0,4.5,6.5,7.9,8.0,8.0,9.0,9.0,5.5,1.79,1.5,1.5,3.0,2.0,2.0,1.5,1.5,2.0,1.5,2.5,1.0,1.5,2
Africa,East Africa,Somalia,6.13,5.27,8.0,7.5,9.0,7.0,5.5,3.0,2.5,2.0,2.0,2.5,2.5,7.0,6.0,5.0,9.5,7.0,9.5,7.5,7.0,5.5,5.5,1.79,1.5,1.0,2.5,2.5,2.0,1.5,1.5,2.0,1.5,1.0,1.5,3.0,2
Asia,Eastern Asia,"Korea, DPR",4.82,5.73,8.5,6.5,9.0,3.0,3.0,7.5,4.0,1.5,5.0,8.0,9.0,8.0,7.5,4.0,1.5,3.9,1.0,3.0,10.0,4.5,1.0,1.79,3.0,1.0,2.0,2.0,1.0,1.5,6.0,1.0,1.0,1.0,1.0,1.0,1
Americas,South America,Venezuela,6.72,6.03,7.5,7.5,8.0,3.5,3.0,9.0,2.0,9.0,7.0,3.0,3.5,8.0,5.5,6.5,7.5,7.4,9.5,5.0,9.0,7.5,6.0,1.88,2.0,1.5,1.5,2.0,1.5,1.5,3.0,2.0,2.0,1.5,2.0,2.0,2
Africa,East Africa,South Sudan,6.32,5.13,8.5,5.5,8.0,7.0,6.5,8.5,2.0,1.5,4.0,1.0,1.0,7.5,6.0,5.0,5.0,7.5,5.0,7.5,9.0,8.0,8.0,1.88,2.0,1.5,2.0,3.0,2.0,2.0,1.5,1.5,2.5,1.0,1.5,2.0,2
Asia,Western Asia,Syria,7.07,6.43,8.5,9.0,9.0,1.5,3.5,8.5,3.0,2.5,7.5,10.0,4.5,8.0,6.5,6.5,8.0,7.7,4.5,9.0,10.0,8.0,7.0,1.92,2.0,1.0,3.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,1.5,2
